n_clusters,n_dims,n_samples,algorithm,param,std_error
3,8,400000,rpkm,6,-2.113356088572869e-06
3,8,1200000,rpkm,1,-1.0309519971567713
3,8,1200000,rpkm,2,-0.509531392220543
3,8,1200000,rpkm,3,-0.29025571121637944
3,8,1200000,rpkm,4,-0.00024332610636814913
3,8,1200000,rpkm,5,-9.303984429701373e-06
3,8,1200000,rpkm,6,0.0
3,8,4000000,rpkm,1,-1.0244021841874478
3,8,4000000,rpkm,2,-0.2793022318080336
3,8,4000000,rpkm,3,-0.08370478755324408
3,8,4000000,rpkm,4,-0.00048873697154335
3,8,4000000,rpkm,5,-9.465002566894693e-06
3,8,4000000,rpkm,6,-3.711487146930579e-06
9,2,4000,rpkm,1,-0.4771268397093279
9,2,4000,rpkm,2,-0.24224720458615412
9,2,4000,rpkm,3,-0.10956108847536203
9,2,4000,rpkm,4,-0.06154162551212315
9,2,4000,rpkm,5,-0.008624561359506427
9,2,4000,rpkm,6,-0.0001186676894216321
9,2,12000,rpkm,1,-0.4294859049449026
9,2,12000,rpkm,2,-0.1611318012081728
9,2,12000,rpkm,3,-0.1083225763983751
9,2,12000,rpkm,4,-0.017993102467306545
9,2,12000,rpkm,5,-0.06639836506493568
9,2,12000,rpkm,6,-0.00011599551133988836
9,2,40000,rpkm,1,-0.4781584339425679
9,2,40000,rpkm,2,-0.3322914181434272
9,2,40000,rpkm,3,-0.20120173183863366
9,2,40000,rpkm,4,-0.07932707787626601
9,2,40000,rpkm,5,-0.05570709628535436
9,2,40000,rpkm,6,-0.053984632061700996
9,2,120000,rpkm,1,-0.4864472823613048
9,2,120000,rpkm,2,-0.3548310156590925
9,2,120000,rpkm,3,-0.24459460691798193
9,2,120000,rpkm,4,-0.11801576536822886
9,2,120000,rpkm,5,-0.05692043420540377
9,2,120000,rpkm,6,-0.001464348644731093
9,2,400000,rpkm,1,-0.5443255603914829
9,2,400000,rpkm,2,-0.4116489144070911
9,2,400000,rpkm,3,-0.2983840555286413
9,2,400000,rpkm,4,-0.16903208992692026
9,2,400000,rpkm,5,-0.09830874203517968
