n_clusters,n_dims,n_samples,algorithm,param,instance_ratio
9,4,10000.0,rpkm,3,0.0557
9,4,10000.0,rpkm,4,0.2875
9,4,10000.0,rpkm,5,0.7959
9,4,10000.0,rpkm,6,0.9916
9,4,100000.0,rpkm,1,0.00014
9,4,100000.0,rpkm,2,0.00078
9,4,100000.0,rpkm,3,0.00454
9,4,100000.0,rpkm,4,0.02896
9,4,100000.0,rpkm,5,0.27558
9,4,100000.0,rpkm,6,0.74183
9,4,1000000.0,rpkm,1,1.6e-05
9,4,1000000.0,rpkm,2,0.000161
9,4,1000000.0,rpkm,3,0.001064
9,4,1000000.0,rpkm,4,0.006221
9,4,1000000.0,rpkm,5,0.061437
9,4,1000000.0,rpkm,6,0.288981
9,8,100.0,rpkm,1,0.51
9,8,100.0,rpkm,2,0.94
9,8,100.0,rpkm,3,1.0
9,8,100.0,rpkm,4,1.0
9,8,100.0,rpkm,5,1.0
9,8,100.0,rpkm,6,1.0
9,8,1000.0,rpkm,1,0.179
9,8,1000.0,rpkm,2,0.656
9,8,1000.0,rpkm,3,0.992
9,8,1000.0,rpkm,4,1.0
9,8,1000.0,rpkm,5,1.0
9,8,1000.0,rpkm,6,1.0
9,8,10000.0,rpkm,1,0.0205
9,8,10000.0,rpkm,2,0.1813
9,8,10000.0,rpkm,3,0.7371
9,8,10000.0,rpkm,4,0.9979
9,8,10000.0,rpkm,5,1.0
9,8,10000.0,rpkm,6,1.0
9,8,100000.0,rpkm,1,0.00214
9,8,100000.0,rpkm,2,0.03226
9,8,100000.0,rpkm,3,0.38727
9,8,100000.0,rpkm,4,0.89634
9,8,100000.0,rpkm,5,0.99986
9,8,100000.0,rpkm,6,1.0
9,8,1000000.0,rpkm,1,0.000254
9,8,1000000.0,rpkm,2,0.005052
9,8,1000000.0,rpkm,3,0.084471
9,8,1000000.0,rpkm,4,0.448887
9,8,1000000.0,rpkm,5,0.997466
9,8,1000000.0,rpkm,6,0.999937
