n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,4,12000,rpkm,6.0,52915.5,0.2255342960357666
3,4,40000,k-means++,None,1320000.0,0.24690234661102295
3,4,40000,mb-kmeans,100.0,414750.0,0.07927911281585694
3,4,40000,mb-kmeans,500.0,416400.0,0.02017538547515869
3,4,40000,mb-kmeans,1000.0,483000.0,0.09809787273406982
3,4,40000,rpkm,1.0,105.3,0.009163689613342286
3,4,40000,rpkm,2.0,588.6,0.01601278781890869
3,4,40000,rpkm,3.0,2696.4,0.02744758129119873
3,4,40000,rpkm,4.0,19351.2,0.05508131980895996
3,4,40000,rpkm,5.0,37542.6,0.13524138927459717
3,4,40000,rpkm,6.0,80404.8,0.4059027433395386
3,4,120000,k-means++,None,5364000.0,0.33236539363861084
3,4,120000,mb-kmeans,100.0,1224390.0,0.22288682460784912
3,4,120000,mb-kmeans,500.0,1212000.0,0.05090651512145996
3,4,120000,mb-kmeans,1000.0,1349400.0,0.12291898727416992
3,4,120000,rpkm,1.0,105.0,0.028892159461975098
3,4,120000,rpkm,2.0,650.4,0.04247748851776123
3,4,120000,rpkm,3.0,4630.2,0.05799546241760254
3,4,120000,rpkm,4.0,19533.6,0.0946641206741333
3,4,120000,rpkm,5.0,41613.0,0.2268310785293579
3,4,120000,rpkm,6.0,111672.0,0.6579350233078003
3,4,400000,k-means++,None,14640000.0,0.3158170223236084
3,4,400000,mb-kmeans,100.0,3963930.0,0.6508752107620239
3,4,400000,mb-kmeans,500.0,4131900.0,0.18715221881866456
3,4,400000,mb-kmeans,1000.0,4492500.0,0.22661161422729492
3,4,400000,rpkm,1.0,107.1,0.0767164945602417
3,4,400000,rpkm,2.0,653.4,0.12158167362213135
3,4,400000,rpkm,3.0,3330.9,0.16760773658752443
3,4,400000,rpkm,4.0,19318.8,0.2351210594177246
3,4,400000,rpkm,5.0,50684.7,0.4210470914840698
3,4,400000,rpkm,6.0,400161.3,1.1160876750946045
3,4,1200000,k-means++,None,45720000.0,0.5099121809005738
3,4,1200000,mb-kmeans,100.0,12394110.0,2.3637792825698853
3,4,1200000,mb-kmeans,500.0,11809350.0,0.5611211776733398
3,4,1200000,mb-kmeans,1000.0,13271400.0,0.6421313524246216
3,4,1200000,rpkm,1.0,82.8,0.1931072950363159
3,4,1200000,rpkm,2.0,391.2,0.32620084285736084
3,4,1200000,rpkm,3.0,2726.4,0.4943819999694824
3,4,1200000,rpkm,4.0,11096.1,0.7050390481948853
3,4,1200000,rpkm,5.0,33285.3,1.0003758192062377
3,4,1200000,rpkm,6.0,131021.7,1.8415462970733643
3,4,4000000,k-means++,None,134400000.0,1.1848040342330932
3,4,4000000,mb-kmeans,100.0,38128470.0,5.598265480995178
3,4,4000000,mb-kmeans,500.0,40600800.0,1.7081625699996947
3,4,4000000,mb-kmeans,1000.0,43923300.0,1.5782375574111938
3,4,4000000,rpkm,1.0,34.8,0.3616528272628784
3,4,4000000,rpkm,2.0,167.4,0.7893110752105713
3,4,4000000,rpkm,3.0,853.8,1.340736699104309
3,4,4000000,rpkm,4.0,5124.3,1.9095628023147584
3,4,4000000,rpkm,5.0,14963.1,2.571271061897278
3,4,4000000,rpkm,6.0,54588.0,3.525476360321045
3,8,4000,k-means++,None,130800.0,0.08208158016204833
3,8,4000,mb-kmeans,100.0,45120.0,0.012182259559631347
3,8,4000,mb-kmeans,500.0,71550.0,0.06889262199401855
3,8,4000,mb-kmeans,1000.0,118200.0,0.07736444473266602
3,8,4000,rpkm,1.0,411.9,0.0033326148986816406
3,8,4000,rpkm,2.0,2428.2,0.008754801750183106
3,8,4000,rpkm,3.0,8547.0,0.022650671005249024
3,8,4000,rpkm,4.0,19282.2,0.05638728141784668
3,8,4000,rpkm,5.0,31798.8,0.12356529235839844
3,8,4000,rpkm,6.0,43118.7,0.21704912185668945
3,8,12000,k-means++,None,414000.0,0.21616501808166505
3,8,12000,mb-kmeans,100.0,134940.0,0.030924177169799803
3,8,12000,mb-kmeans,500.0,181350.0,0.08252406120300293
3,8,12000,mb-kmeans,1000.0,246600.0,0.09139785766601563
3,8,12000,rpkm,1.0,489.3,0.005059576034545899
3,8,12000,rpkm,2.0,3078.6,0.012237977981567384
3,8,12000,rpkm,3.0,9227.7,0.03218355178833008
3,8,12000,rpkm,4.0,25367.4,0.09604296684265137
3,8,12000,rpkm,5.0,93859.2,0.2282806396484375
3,8,12000,rpkm,6.0,120290.1,0.484951114654541
3,8,40000,k-means++,None,1380000.0,0.22431550025939942
3,8,40000,mb-kmeans,100.0,423090.0,0.08275060653686524
3,8,40000,mb-kmeans,500.0,479400.0,0.09872679710388184
3,8,40000,mb-kmeans,1000.0,508500.0,0.08278477191925049
3,8,40000,rpkm,1.0,467.7,0.010541939735412597
3,8,40000,rpkm,2.0,3843.6,0.02189345359802246
3,8,40000,rpkm,3.0,11608.2,0.05065450668334961
3,8,40000,rpkm,4.0,45718.8,0.14993674755096437
3,8,40000,rpkm,5.0,86042.1,0.4383053779602051
3,8,40000,rpkm,6.0,149790.3,1.0498421669006348
3,8,120000,k-means++,None,4680000.0,0.26161444187164307
3,8,120000,mb-kmeans,100.0,1214040.0,0.21129167079925537
3,8,120000,mb-kmeans,500.0,1205850.0,0.10781025886535645
3,8,120000,mb-kmeans,1000.0,1364700.0,0.1180661678314209
3,8,120000,rpkm,1.0,518.4,0.02646021842956543
3,8,120000,rpkm,2.0,4010.7,0.046796202659606934
3,8,120000,rpkm,3.0,16375.5,0.0934842586517334
3,8,120000,rpkm,4.0,55142.4,0.23564908504486085
3,8,120000,rpkm,5.0,119114.4,0.7081773042678833
3,8,120000,rpkm,6.0,350880.6,1.9871755599975587
3,8,400000,k-means++,None,14280000.0,0.3016380548477173
3,8,400000,mb-kmeans,100.0,3957090.0,0.6487081289291382
3,8,400000,mb-kmeans,500.0,3956850.0,0.21113018989562987
3,8,400000,mb-kmeans,1000.0,4327500.0,0.2242140531539917
3,8,400000,rpkm,1.0,291.6,0.06587166786193847
3,8,400000,rpkm,2.0,2118.3,0.12195091247558594
3,8,400000,rpkm,3.0,15834.0,0.20228815078735352
3,8,400000,rpkm,4.0,51254.4,0.3879240989685059
3,8,400000,rpkm,5.0,125366.1,0.9440924882888794
3,8,400000,rpkm,6.0,309400.2,2.6503297805786135
3,8,1200000,k-means++,None,44280000.0,0.5048599720001221
3,8,1200000,mb-kmeans,100.0,12121410.0,2.1354420661926268
3,8,1200000,mb-kmeans,500.0,12858000.0,0.724144697189331
3,8,1200000,mb-kmeans,1000.0,13020300.0,0.5501861095428466
3,8,1200000,rpkm,1.0,113.4,0.1499607801437378
3,8,1200000,rpkm,2.0,968.4,0.31420986652374266
3,8,1200000,rpkm,3.0,5553.6,0.5295581340789794
3,8,1200000,rpkm,4.0,37063.8,0.8304400444030762
3,8,1200000,rpkm,5.0,93336.0,1.3540221452713013
3,8,1200000,rpkm,6.0,260252.1,2.9556792974472046
3,8,4000000,k-means++,None,170400000.0,1.305589747428894
3,8,4000000,mb-kmeans,100.0,37475190.0,5.017073321342468
3,8,4000000,mb-kmeans,500.0,38441100.0,1.48766930103302
3,8,4000000,mb-kmeans,1000.0,43787400.0,1.6279914379119873
3,8,4000000,rpkm,1.0,63.6,0.42714500427246094
3,8,4000000,rpkm,2.0,707.7,1.0099884748458863
3,8,4000000,rpkm,3.0,4544.4,1.6170655965805054
3,8,4000000,rpkm,4.0,21815.1,2.4138092041015624
3,8,4000000,rpkm,5.0,79140.9,3.6799506902694703
3,8,4000000,rpkm,6.0,258765.9,5.550589871406555
9,2,4000,k-means++,None,781200.0,0.008964991569519043
9,2,4000,mb-kmeans,100.0,358380.0,0.018655896186828613
9,2,4000,mb-kmeans,500.0,414900.0,0.012070894241333008
9,2,4000,mb-kmeans,1000.0,556200.0,0.015308332443237305
9,2,4000,rpkm,1.0,334.8,0.003446078300476074
9,2,4000,rpkm,2.0,1449.9,0.0058372259140014645
9,2,4000,rpkm,3.0,7577.1,0.009874725341796875
9,2,4000,rpkm,4.0,29544.3,0.018473100662231446
9,2,4000,rpkm,5.0,72653.4,0.03871283531188965
9,2,4000,rpkm,6.0,143552.7,0.07659256458282471
9,2,12000,k-means++,None,2397600.0,0.12300961017608643
9,2,12000,mb-kmeans,100.0,1034910.0,0.03432831764221191
9,2,12000,mb-kmeans,500.0,1085400.0,0.015293359756469727
9,2,12000,mb-kmeans,1000.0,1190700.0,0.016327857971191406
9,2,12000,rpkm,1.0,300.6,0.005353164672851562
9,2,12000,rpkm,2.0,1563.3,0.008424520492553711
9,2,12000,rpkm,3.0,6096.6,0.013150358200073242
9,2,12000,rpkm,4.0,27625.5,0.022832059860229494
9,2,12000,rpkm,5.0,75796.2,0.04734172821044922
9,2,12000,rpkm,6.0,255840.3,0.09924027919769288
9,2,40000,k-means++,None,8100000.0,0.14780755043029786
9,2,40000,mb-kmeans,100.0,3345030.0,0.08048534393310547
9,2,40000,mb-kmeans,500.0,3591000.0,0.03995521068572998
9,2,40000,mb-kmeans,1000.0,3776400.0,0.03566398620605469
9,2,40000,rpkm,1.0,251.1,0.014405298233032226
9,2,40000,rpkm,2.0,1563.3,0.017910456657409667
9,2,40000,rpkm,3.0,8288.1,0.025397682189941408
9,2,40000,rpkm,4.0,29314.8,0.03807485103607178
9,2,40000,rpkm,5.0,164088.0,0.06956465244293213
9,2,40000,rpkm,6.0,257733.9,0.15036191940307617
9,2,120000,k-means++,None,27000000.0,0.3058509588241577
9,2,120000,mb-kmeans,100.0,10080360.0,0.22659804821014404
9,2,120000,mb-kmeans,500.0,10163700.0,0.060663700103759766
9,2,120000,mb-kmeans,1000.0,10712700.0,0.06606767177581788
9,2,120000,rpkm,1.0,281.7,0.03313868045806885
9,2,120000,rpkm,2.0,1647.0,0.04721698760986328
9,2,120000,rpkm,3.0,7462.8,0.06074187755584717
9,2,120000,rpkm,4.0,32368.5,0.0824284315109253
9,2,120000,rpkm,5.0,198217.8,0.1220196008682251
9,2,120000,rpkm,6.0,362692.8,0.23157880306243897
9,2,400000,k-means++,None,79200000.0,0.2995023727416992
9,2,400000,mb-kmeans,100.0,32795370.0,0.5070747137069702
9,2,400000,mb-kmeans,500.0,32994900.0,0.14101741313934327
9,2,400000,mb-kmeans,1000.0,35121600.0,0.19357287883758545
9,2,400000,rpkm,1.0,297.0,0.10480968952178955
9,2,400000,rpkm,2.0,1640.7,0.14137651920318603
9,2,400000,rpkm,3.0,7457.4,0.18259525299072266
9,2,400000,rpkm,4.0,31275.9,0.22815191745758057
9,2,400000,rpkm,5.0,134287.2,0.30079410076141355
9,2,400000,rpkm,6.0,631377.0,0.46068582534790037
9,2,1200000,k-means++,None,250560000.0,0.7486955404281617
9,2,1200000,mb-kmeans,100.0,98080650.0,1.4908270835876465
9,2,1200000,mb-kmeans,500.0,98493750.0,0.4559429168701172
9,2,1200000,mb-kmeans,1000.0,103888800.0,0.5162046194076538
9,2,1200000,rpkm,1.0,351.0,0.3070944309234619
9,2,1200000,rpkm,2.0,1588.5,0.42270328998565676
9,2,1200000,rpkm,3.0,7002.9,0.5464223146438598
9,2,1200000,rpkm,4.0,24441.3,0.693130373954773
9,2,1200000,rpkm,5.0,169905.6,0.8820956707000732
9,2,1200000,rpkm,6.0,373753.8,1.1520338773727417
9,2,4000000,k-means++,None,806400000.0,2.3027869939804075
9,2,4000000,mb-kmeans,100.0,330621480.0,6.175174045562744
9,2,4000000,mb-kmeans,500.0,334879650.0,1.768897032737732
9,2,4000000,mb-kmeans,1000.0,336142800.0,1.185123896598816
9,2,4000000,rpkm,1.0,378.9,1.046184515953064
9,2,4000000,rpkm,2.0,1572.3,1.4321770906448363
9,2,4000000,rpkm,3.0,8470.8,1.9649070024490356
9,2,4000000,rpkm,4.0,41648.4,2.5974813222885134
9,2,4000000,rpkm,5.0,130392.9,3.528521490097046
9,2,4000000,rpkm,6.0,352509.3,4.141616177558899
9,4,4000,k-means++,None,932400.0,0.08500607013702392
9,4,4000,mb-kmeans,100.0,356040.0,0.01735224723815918
9,4,4000,mb-kmeans,500.0,426150.0,0.012742233276367188
9,4,4000,mb-kmeans,1000.0,583200.0,0.08282237052917481
9,4,4000,rpkm,1.0,693.0,0.002946925163269043
9,4,4000,rpkm,2.0,4086.0,0.006653141975402832
9,4,4000,rpkm,3.0,19588.5,0.014322209358215331
9,4,4000,rpkm,4.0,62073.9,0.03359265327453613
9,4,4000,rpkm,5.0,154228.5,0.07143528461456299
9,4,4000,rpkm,6.0,208036.8,0.13523478507995607
9,4,12000,k-means++,None,3142800.0,0.16643064022064208
9,4,12000,mb-kmeans,100.0,1036890.0,0.03383314609527588
9,4,12000,mb-kmeans,500.0,1122750.0,0.017407703399658202
9,4,12000,mb-kmeans,1000.0,1259100.0,0.09009063243865967
9,4,12000,rpkm,1.0,398.7,0.004449653625488281
9,4,12000,rpkm,2.0,2836.8,0.008278322219848634
9,4,12000,rpkm,3.0,19711.8,0.016217780113220216
9,4,12000,rpkm,4.0,87590.7,0.03800182342529297
9,4,12000,rpkm,5.0,254078.1,0.11639065742492676
9,4,12000,rpkm,6.0,494491.5,0.23361582756042482
9,4,40000,k-means++,None,9972000.0,0.15341153144836425
9,4,40000,mb-kmeans,100.0,3348000.0,0.07494907379150391
9,4,40000,mb-kmeans,500.0,3564450.0,0.03896057605743408
9,4,40000,mb-kmeans,1000.0,3642300.0,0.0987844705581665
9,4,40000,rpkm,1.0,234.9,0.008772706985473633
9,4,40000,rpkm,2.0,2371.5,0.014771223068237305
9,4,40000,rpkm,3.0,16007.4,0.024324584007263183
9,4,40000,rpkm,4.0,76520.7,0.0476670503616333
9,4,40000,rpkm,5.0,303183.9,0.12392928600311279
9,4,40000,rpkm,6.0,771760.8,0.3405522346496582
9,4,120000,k-means++,None,26892000.0,0.20203537940979005
9,4,120000,mb-kmeans,100.0,10018260.0,0.2122058629989624
9,4,120000,mb-kmeans,500.0,10339650.0,0.07773661613464355
9,4,120000,mb-kmeans,1000.0,10076400.0,0.10271282196044922
9,4,120000,rpkm,1.0,297.0,0.022719597816467284
9,4,120000,rpkm,2.0,2448.0,0.03605763912200928
9,4,120000,rpkm,3.0,16121.7,0.054169225692749026
9,4,120000,rpkm,4.0,76806.0,0.08960700035095215
9,4,120000,rpkm,5.0,432656.1,0.21722898483276368
9,4,120000,rpkm,6.0,1416678.3,0.5804731845855713
