n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,4,100000.0,rpkm,1.0,157.2,0.01472787857055664
3,4,100000.0,rpkm,2.0,976.5,0.031301689147949216
3,4,100000.0,rpkm,3.0,7588.5,0.06658542156219482
3,4,100000.0,rpkm,4.0,35313.9,0.1988051176071167
3,4,100000.0,rpkm,5.0,117678.3,0.8525590181350708
3,4,100000.0,rpkm,6.0,356317.8,2.871413993835449
3,4,1000000.0,k-means++,None,23100000.0,0.3539198160171509
3,4,1000000.0,mb-kmeans,100.0,6225180.0,1.2066413640975953
3,4,1000000.0,mb-kmeans,500.0,7283850.0,0.45366740226745605
3,4,1000000.0,mb-kmeans,1000.0,8242800.0,0.47968325614929197
3,4,1000000.0,rpkm,1.0,135.0,0.13519983291625975
3,4,1000000.0,rpkm,2.0,1011.3,0.2765784502029419
3,4,1000000.0,rpkm,3.0,6671.7,0.4411503791809082
3,4,1000000.0,rpkm,4.0,44505.9,0.8590510606765747
3,4,1000000.0,rpkm,5.0,209533.2,2.401187562942505
3,4,1000000.0,rpkm,6.0,1485877.5,9.162671852111817
3,8,100.0,k-means++,None,2430.0,0.0014735698699951173
3,8,100.0,mb-kmeans,100.0,8220.0,0.006177568435668945
3,8,100.0,mb-kmeans,500.0,39450.0,0.007574391365051269
3,8,100.0,mb-kmeans,1000.0,78300.0,0.0091949462890625
3,8,100.0,rpkm,1.0,737.4,0.0026253223419189452
3,8,100.0,rpkm,2.0,1476.6,0.006528043746948242
3,8,100.0,rpkm,3.0,1476.6,0.009489989280700684
3,8,100.0,rpkm,4.0,1476.6,0.00943150520324707
3,8,100.0,rpkm,5.0,1476.6,0.009392952919006348
3,8,100.0,rpkm,6.0,1476.6,0.009436297416687011
3,8,1000.0,k-means++,None,24900.0,0.001860332489013672
3,8,1000.0,mb-kmeans,100.0,15240.0,0.008483576774597167
3,8,1000.0,mb-kmeans,500.0,36450.0,0.00668802261352539
3,8,1000.0,mb-kmeans,1000.0,71700.0,0.008331584930419921
3,8,1000.0,rpkm,1.0,2833.5,0.005169272422790527
3,8,1000.0,rpkm,2.0,10695.6,0.023587799072265624
3,8,1000.0,rpkm,3.0,27608.4,0.05306534767150879
3,8,1000.0,rpkm,4.0,27608.4,0.08477518558502198
3,8,1000.0,rpkm,5.0,27608.4,0.0840733528137207
3,8,1000.0,rpkm,6.0,27608.4,0.08471651077270508
3,8,10000.0,k-means++,None,255000.0,0.18069825172424317
3,8,10000.0,mb-kmeans,100.0,90330.0,0.033370351791381835
3,8,10000.0,mb-kmeans,500.0,138750.0,0.07461678981781006
3,8,10000.0,mb-kmeans,1000.0,176100.0,0.086507248878479
3,8,10000.0,rpkm,1.0,3469.8,0.008457255363464356
3,8,10000.0,rpkm,2.0,17063.7,0.05652906894683838
3,8,10000.0,rpkm,3.0,67999.2,0.32060885429382324
3,8,10000.0,rpkm,4.0,109871.4,0.6721593856811523
3,8,10000.0,rpkm,5.0,112871.1,0.99946129322052
3,8,10000.0,rpkm,6.0,112871.1,1.0075021743774415
3,8,100000.0,k-means++,None,2490000.0,0.1863715410232544
3,8,100000.0,mb-kmeans,100.0,697740.0,0.17989645004272461
3,8,100000.0,mb-kmeans,500.0,860250.0,0.12529873847961426
3,8,100000.0,mb-kmeans,1000.0,1113600.0,0.14950783252716066
3,8,100000.0,rpkm,1.0,4157.4,0.02466886043548584
3,8,100000.0,rpkm,2.0,31555.5,0.11409690380096435
3,8,100000.0,rpkm,3.0,286670.1,1.0486432552337646
3,8,100000.0,rpkm,4.0,828993.0,3.9139404773712156
3,8,100000.0,rpkm,5.0,1128918.6,7.825409078598023
3,8,100000.0,rpkm,6.0,1128918.6,10.852693104743958
3,8,1000000.0,k-means++,None,22200000.0,0.372444748878479
3,8,1000000.0,mb-kmeans,100.0,6883260.0,1.6559406042098999
3,8,1000000.0,mb-kmeans,500.0,8130750.0,0.6624294757843018
3,8,1000000.0,mb-kmeans,1000.0,8808900.0,0.5967220783233642
3,8,1000000.0,rpkm,1.0,4006.8,0.22141504287719727
3,8,1000000.0,rpkm,2.0,31767.3,0.5198681592941284
3,8,1000000.0,rpkm,3.0,907352.7,3.1290175199508665
3,8,1000000.0,rpkm,4.0,6625388.1,20.422482395172118
3,8,1000000.0,rpkm,5.0,9612535.5,52.411167407035826
3,8,1000000.0,rpkm,6.0,12612483.6,86.90180118083954
9,2,100.0,k-means++,None,6750.0,0.001994943618774414
9,2,100.0,mb-kmeans,100.0,21150.0,0.007348871231079102
9,2,100.0,mb-kmeans,500.0,91350.0,0.008289074897766114
