n_clusters,n_dims,n_samples,algorithm,param,adjusted_mutual_info,adjusted_rand,normalized_mutual_info
3,2,100.0,rpkm,1,0.8128316785906371,0.79732826516176,0.8167445108558418
3,2,100.0,rpkm,2,0.8545948297531645,0.8537060995685113,0.8576598054044631
3,2,100.0,rpkm,3,0.9118900125795066,0.9111760776115689,0.9137766520368809
3,2,100.0,rpkm,4,0.9740928041791216,0.9872774459108546,0.9747719044284009
3,2,100.0,rpkm,5,0.9956436975335518,0.9984909200600434,0.995744503065118
3,2,100.0,rpkm,6,1.0,1.0,1.0
3,2,1000.0,rpkm,1,0.7217634913363602,0.6830332133416434,0.7223286552788775
3,2,1000.0,rpkm,2,0.7588442574619017,0.7246552928977239,0.7593393060608475
3,2,1000.0,rpkm,3,0.9541785934054484,0.9770012098203017,0.9542804098162531
3,2,1000.0,rpkm,4,0.9714969750711366,0.9881418247948879,0.9715620302022341
3,2,1000.0,rpkm,5,0.9780711949339421,0.9920532435466372,0.9781221319054755
3,2,1000.0,rpkm,6,0.9923050283530133,0.9972604607431762,0.9923229145223285
3,2,10000.0,rpkm,1,0.7173705647356388,0.680316807046166,0.7174274029158603
3,2,10000.0,rpkm,2,0.747579113784649,0.7145274473864371,0.7476303873854727
3,2,10000.0,rpkm,3,0.9293215733327849,0.964449692867548,0.9293372561091626
3,2,10000.0,rpkm,4,0.9456038043374354,0.9751807506109534,0.9456163445321739
3,2,10000.0,rpkm,5,0.9503509002096255,0.9791260131169178,0.9503623665183907
3,2,10000.0,rpkm,6,0.9642597068292366,0.9858814683185516,0.964267961645931
3,2,100000.0,rpkm,1,0.7250911322816167,0.6854177127808047,0.7250967316953453
3,2,100000.0,rpkm,2,0.7572707074599785,0.7297491033913415,0.7572757175971263
3,2,100000.0,rpkm,3,0.8557966179458394,0.8503464871852735,0.8557996715750609
3,2,100000.0,rpkm,4,0.867812957200852,0.8606415922721412,0.8678157298734283
3,2,100000.0,rpkm,5,0.9320997802857356,0.9317120003885433,0.932101236550432
3,2,100000.0,rpkm,6,0.9830241694920161,0.994428696630316,0.9830245624131599
3,2,1000000.0,rpkm,1,0.6982791381308309,0.6369114769261179,0.6982797683751152
3,2,1000000.0,rpkm,2,0.6977252294359022,0.6436341752247696,0.6977258586536316
3,2,1000000.0,rpkm,3,0.8515716115412623,0.8506049012838346,0.8515719319815321
3,2,1000000.0,rpkm,4,0.9506163444092508,0.975624500894764,0.9506164615964414
3,2,1000000.0,rpkm,5,0.962661535880734,0.983524818402239,0.962661623115783
3,2,1000000.0,rpkm,6,0.972698917053782,0.9894152809483847,0.9726989804118377
3,4,100.0,rpkm,1,0.8628985791240724,0.8503329425804024,0.8656183919607112
3,4,100.0,rpkm,2,0.9508224406808704,0.9475316471740877,0.9518491870151011
3,4,100.0,rpkm,3,0.9957377243425942,0.9970573723226547,0.995820207551253
3,4,100.0,rpkm,4,1.0,1.0,1.0
3,4,100.0,rpkm,5,1.0,1.0,1.0
3,4,100.0,rpkm,6,1.0,1.0,1.0
3,4,1000.0,rpkm,1,0.7810808826130126,0.7658650701561086,0.7815014786213234
3,4,1000.0,rpkm,2,0.9172883648035622,0.9246510169452101,0.9174528231045891
3,4,1000.0,rpkm,3,0.9881244652379637,0.9950943069556126,0.9881496613447199
3,4,1000.0,rpkm,4,0.9962786274968988,0.9990862409644841,0.996287391154743
3,4,1000.0,rpkm,5,1.0,1.0,1.0
3,4,1000.0,rpkm,6,1.0,1.0,1.0
3,4,10000.0,rpkm,1,0.8628326802941,0.8665809093181748,0.8628595645060241
3,4,10000.0,rpkm,2,0.90542107448721,0.9178585483451686,0.9054398593816677
3,4,10000.0,rpkm,3,0.9893246220705944,0.9960169758984188,0.9893268663621549
3,4,10000.0,rpkm,4,0.9937407026675616,0.9979345357987063,0.9937421427981846
3,4,10000.0,rpkm,5,1.0,1.0,1.0
3,4,10000.0,rpkm,6,1.0,1.0,1.0
3,4,100000.0,rpkm,1,0.8140051852015493,0.7950679514439438,0.8140087183757256
3,4,100000.0,rpkm,2,0.9061401073994967,0.9112960382606037,0.9061418410208516
3,4,100000.0,rpkm,3,0.9922316741925463,0.9963816261028823,0.9922318156177445
3,4,100000.0,rpkm,4,1.0,1.0,1.0
3,4,100000.0,rpkm,5,1.0,1.0,1.0
3,4,100000.0,rpkm,6,1.0,1.0,1.0
3,4,1000000.0,rpkm,1,0.7885523218499969,0.7733322906247748,0.7885527345491138
3,4,1000000.0,rpkm,2,0.9351838701090351,0.9554364309828856,0.9351839986862996
3,4,1000000.0,rpkm,3,0.971995292668355,0.9850134847561275,0.9719953541615741
3,4,1000000.0,rpkm,4,0.9842106785929386,0.9926149249402056,0.9842107147888004
3,4,1000000.0,rpkm,5,0.9884449872873841,0.9953775725965393,0.988445013297698
3,4,1000000.0,rpkm,6,0.9976773818304979,0.9993140715172647,0.997677386707203
3,6,100.0,rpkm,1,0.8020135078833842,0.7517461819272568,0.8060859797023034
3,6,100.0,rpkm,2,0.9452075525612887,0.9315090286571662,0.9463476639407699
3,6,100.0,rpkm,3,0.9452075525612887,0.9315090286571662,0.9463476639407699
3,6,100.0,rpkm,4,0.9452075525612887,0.9315090286571662,0.9463476639407699
3,6,100.0,rpkm,5,0.9452075525612887,0.9315090286571662,0.9463476639407699
3,6,100.0,rpkm,6,0.9452075525612887,0.9315090286571662,0.9463476639407699
3,6,1000.0,rpkm,1,0.9309222943780696,0.9289898949418243,0.9310564190650956
3,6,1000.0,rpkm,2,0.9863940972961476,0.9925215165541932,0.9864189399460912
3,6,1000.0,rpkm,3,1.0,1.0,1.0
3,6,1000.0,rpkm,4,1.0,1.0,1.0
3,6,1000.0,rpkm,5,1.0,1.0,1.0
3,6,1000.0,rpkm,6,1.0,1.0,1.0
3,6,10000.0,rpkm,1,0.9720054652415335,0.9836455917523992,0.9720105631915128
3,6,10000.0,rpkm,2,0.982207556694464,0.9902360593363071,0.9822107967289628
3,6,10000.0,rpkm,3,0.9975574506704608,0.9990104223335645,0.9975578954515159
3,6,10000.0,rpkm,4,1.0,1.0,1.0
3,6,10000.0,rpkm,5,1.0,1.0,1.0
3,6,10000.0,rpkm,6,1.0,1.0,1.0
3,6,100000.0,rpkm,1,0.8870688006568168,0.868586875013377,0.8870710221729488
3,6,100000.0,rpkm,2,0.9324297703483563,0.9283907374505667,0.9324310925297432
3,6,100000.0,rpkm,3,0.9951374226025381,0.9978872201508124,0.9951375111272716
3,6,100000.0,rpkm,4,1.0,1.0,1.0
3,6,100000.0,rpkm,5,1.0,1.0,1.0
3,6,100000.0,rpkm,6,1.0,1.0,1.0
3,6,1000000.0,rpkm,1,0.9729304990125772,0.9844236842087366,0.9729305482950735
3,6,1000000.0,rpkm,2,0.9769409747414708,0.9869226947157408,0.9769410167221085
3,6,1000000.0,rpkm,3,0.9951795034099051,0.9979259036559324,0.9951795121855556
3,6,1000000.0,rpkm,4,1.0,1.0,1.0
3,6,1000000.0,rpkm,5,1.0,1.0,1.0
3,6,1000000.0,rpkm,6,1.0,1.0,1.0
3,8,100.0,rpkm,1,0.9496246803176916,0.9513602419369146,0.9506604377906234
3,8,100.0,rpkm,2,0.9886236861859959,0.9949901083615564,0.9889249919723323
3,8,100.0,rpkm,3,0.9886236861859959,0.9949901083615564,0.9889249919723323
