n_clusters,n_dims,n_samples,algorithm,param,silhouette,calinski_harabasz,davies_bouldin
3,2,100.0,k-means++,None,0.6043213847327777,956.9113837561584,0.5610959708647748
3,2,100.0,mb-kmeans,100.0,0.6048298458929494,959.9618557778301,0.5584870662631702
3,2,100.0,mb-kmeans,500.0,0.6052290155471903,960.2329621300553,0.5583168434127447
3,2,100.0,mb-kmeans,1000.0,0.6050906876010128,958.7057090595563,0.5590451942140922
3,2,100.0,rpkm,1.0,0.5230786621439589,583.2161673143398,0.6932491018562636
3,2,100.0,rpkm,2.0,0.5408900083496462,595.6883967718555,0.6711433040963237
3,2,100.0,rpkm,3.0,0.559617549918886,609.14644144586,0.654316129045134
3,2,100.0,rpkm,4.0,0.5726624833310963,618.1214303318962,0.6501689113395439
3,2,100.0,rpkm,5.0,0.5777543185430364,618.7427948678189,0.6483093071419818
3,2,100.0,rpkm,6.0,0.5786489360678347,618.7586794330533,0.6463112766132703
3,2,1000.0,k-means++,None,0.6130298519839881,9629.92590447443,0.5518664312698601
3,2,1000.0,mb-kmeans,100.0,0.6130338364817067,9628.392149559291,0.5516743192183257
3,2,1000.0,mb-kmeans,500.0,0.6130273432968703,9633.30426486052,0.5517211446310777
3,2,1000.0,mb-kmeans,1000.0,0.6130604668627802,9634.281335066946,0.551690119326452
3,2,1000.0,rpkm,1.0,0.47233693476927374,5205.352080435063,0.7369069017647321
3,2,1000.0,rpkm,2.0,0.48953293601312564,5582.392428070522,0.7211671705968015
3,2,1000.0,rpkm,3.0,0.6078868893825298,6716.325561757898,0.6203952660555748
3,2,1000.0,rpkm,4.0,0.6102063576150398,6724.0690885066315,0.6095837286823553
3,2,1000.0,rpkm,5.0,0.6108089634524285,6747.474995513946,0.612725827446883
3,2,1000.0,rpkm,6.0,0.611103323683892,6748.752491174261,0.6085389772039923
3,2,10000.0,k-means++,None,0.6157076769819831,96323.64595904741,0.5465182317585331
3,2,10000.0,mb-kmeans,100.0,0.6157100635034988,96321.91529792924,0.5462494498663452
3,2,10000.0,mb-kmeans,500.0,0.6155455057719038,96317.67226526681,0.546977303194501
3,2,10000.0,mb-kmeans,1000.0,0.6153176844771515,96290.60233978638,0.54711154195321
3,2,10000.0,rpkm,1.0,0.48669860874242754,54564.284999102776,0.7602001970286888
3,2,10000.0,rpkm,2.0,0.4999727559560324,55974.47874492137,0.7422143518906148
3,2,10000.0,rpkm,3.0,0.6023745445112062,65425.802101615605,0.6451391942041267
3,2,10000.0,rpkm,4.0,0.6026078209442824,65484.00569996608,0.6455466263504016
3,2,10000.0,rpkm,5.0,0.6022737274484081,65510.54293696817,0.6534056413293065
