,1.0,2.0,3.0,4.0,5.0,6.0
silhouette,0.025179171978733123,0.017637552674721144,0.010255222369552671,0.00928993687041569,0.008966175883853846,0.008681251314022639
calinski_harabasz,0.19681338863915457,0.16269448606803513,0.14005002301888145,0.13238182404308668,0.13027438263196764,0.12677236595053326
davies_bouldin,0.11392277351794641,0.09404348757235391,0.07329689866737901,0.07084931957077995,0.07055106158202175,0.06956971690355157
