n_clusters,n_dims,n_samples,algorithm,param,instance_ratio
3,4,1200000,rpkm,3,0.00014816666666666667
3,4,1200000,rpkm,4,0.0006409166666666666
3,4,1200000,rpkm,5,0.0030584166666666667
3,4,1200000,rpkm,6,0.015059083333333334
3,4,4000000,rpkm,1,1.175e-06
3,4,4000000,rpkm,2,3.9e-06
3,4,4000000,rpkm,3,1.5975000000000002e-05
3,4,4000000,rpkm,4,6.5675e-05
3,4,4000000,rpkm,5,0.00030132499999999997
3,4,4000000,rpkm,6,0.001530625
3,8,4000,rpkm,1,0.007424999999999999
3,8,4000,rpkm,2,0.035425
3,8,4000,rpkm,3,0.11087500000000002
3,8,4000,rpkm,4,0.29
3,8,4000,rpkm,5,0.539525
3,8,4000,rpkm,6,0.8039
3,8,12000,rpkm,1,0.0029000000000000002
3,8,12000,rpkm,2,0.014591666666666664
3,8,12000,rpkm,3,0.053325
3,8,12000,rpkm,4,0.16605833333333334
3,8,12000,rpkm,5,0.37506666666666666
3,8,12000,rpkm,6,0.6651
3,8,40000,rpkm,1,0.0009674999999999999
3,8,40000,rpkm,2,0.0051400000000000005
3,8,40000,rpkm,3,0.02137
3,8,40000,rpkm,4,0.07869250000000001
3,8,40000,rpkm,5,0.2229225
3,8,40000,rpkm,6,0.492
3,8,120000,rpkm,1,0.0003475
3,8,120000,rpkm,2,0.0019141666666666669
3,8,120000,rpkm,3,0.008669166666666667
3,8,120000,rpkm,4,0.03583083333333333
3,8,120000,rpkm,5,0.12362083333333333
3,8,120000,rpkm,6,0.341185
3,8,400000,rpkm,1,6.45e-05
3,8,400000,rpkm,2,0.00038475
3,8,400000,rpkm,3,0.0019037500000000003
3,8,400000,rpkm,4,0.0085965
3,8,400000,rpkm,5,0.03694025
3,8,400000,rpkm,6,0.138358
3,8,1200000,rpkm,1,9.333333333333334e-06
3,8,1200000,rpkm,2,6.533333333333333e-05
3,8,1200000,rpkm,3,0.00035825
3,8,1200000,rpkm,4,0.0017465833333333333
3,8,1200000,rpkm,5,0.008603666666666666
3,8,1200000,rpkm,6,0.040639666666666664
3,8,4000000,rpkm,1,2.05e-06
3,8,4000000,rpkm,2,1.3275000000000002e-05
3,8,4000000,rpkm,3,6.935e-05
3,8,4000000,rpkm,4,0.0003633
3,8,4000000,rpkm,5,0.0018653249999999997
3,8,4000000,rpkm,6,0.009999725000000001
9,2,4000,rpkm,1,0.0036249999999999998
9,2,4000,rpkm,2,0.009649999999999999
9,2,4000,rpkm,3,0.028700000000000003
9,2,4000,rpkm,4,0.0808
9,2,4000,rpkm,5,0.200875
9,2,4000,rpkm,6,0.40790000000000004
9,2,12000,rpkm,1,0.0011
9,2,12000,rpkm,2,0.0030166666666666666
9,2,12000,rpkm,3,0.009225
9,2,12000,rpkm,4,0.028258333333333337
9,2,12000,rpkm,5,0.08094166666666666
9,2,12000,rpkm,6,0.1991416666666667
9,2,40000,rpkm,1,0.00031749999999999997
9,2,40000,rpkm,2,0.0009274999999999998
9,2,40000,rpkm,3,0.0028525
9,2,40000,rpkm,4,0.009104999999999999
9,2,40000,rpkm,5,0.028664999999999996
9,2,40000,rpkm,6,0.08241
9,2,120000,rpkm,1,0.00010833333333333336
9,2,120000,rpkm,2,0.00031916666666666665
9,2,120000,rpkm,3,0.0009949999999999998
9,2,120000,rpkm,4,0.0032375
9,2,120000,rpkm,5,0.0107325
9,2,120000,rpkm,6,0.03426250000000001
9,2,400000,rpkm,1,3.2749999999999996e-05
9,2,400000,rpkm,2,9.675000000000001e-05
9,2,400000,rpkm,3,0.00030625
9,2,400000,rpkm,4,0.0010155
9,2,400000,rpkm,5,0.00346775
9,2,400000,rpkm,6,0.011808749999999998
9,2,1200000,rpkm,1,1.125e-05
9,2,1200000,rpkm,2,3.258333333333334e-05
9,2,1200000,rpkm,3,0.00010325
9,2,1200000,rpkm,4,0.0003454166666666667
9,2,1200000,rpkm,5,0.0012053333333333332
9,2,1200000,rpkm,6,0.004239666666666667
9,2,4000000,rpkm,1,3.6750000000000004e-06
9,2,4000000,rpkm,2,1.0125e-05
9,2,4000000,rpkm,3,3.147499999999999e-05
9,2,4000000,rpkm,4,0.000105075
9,2,4000000,rpkm,5,0.00037247500000000004
9,2,4000000,rpkm,6,0.0013391750000000002
9,4,4000,rpkm,1,0.004849999999999999
9,4,4000,rpkm,2,0.0184
9,4,4000,rpkm,3,0.0628
9,4,4000,rpkm,4,0.17522500000000002
9,4,4000,rpkm,5,0.3791
9,4,4000,rpkm,6,0.623325
9,4,12000,rpkm,1,0.0012916666666666667
9,4,12000,rpkm,2,0.005366666666666667
9,4,12000,rpkm,3,0.019950000000000002
9,4,12000,rpkm,4,0.07175
9,4,12000,rpkm,5,0.207725
9,4,12000,rpkm,6,0.4322666666666667
9,4,40000,rpkm,1,0.0002775
9,4,40000,rpkm,2,0.0013275
9,4,40000,rpkm,3,0.005282500000000001
9,4,40000,rpkm,4,0.0207525
9,4,40000,rpkm,5,0.0759275
9,4,40000,rpkm,6,0.2204
9,4,120000,rpkm,1,0.0001
9,4,120000,rpkm,2,0.00047083333333333325
9,4,120000,rpkm,3,0.0019266666666666664
9,4,120000,rpkm,4,0.008011666666666667
9,4,120000,rpkm,5,0.03309083333333333
9,4,120000,rpkm,6,0.11846749999999999
9,4,400000,rpkm,1,3.0500000000000003e-05
9,4,400000,rpkm,2,0.00014575000000000002
9,4,400000,rpkm,3,0.000609
9,4,400000,rpkm,4,0.00266175
9,4,400000,rpkm,5,0.01209075
9,4,400000,rpkm,6,0.05220575000000001
9,4,1200000,rpkm,1,1.075e-05
9,4,1200000,rpkm,2,5.016666666666666e-05
9,4,1200000,rpkm,3,0.00021091666666666668
9,4,1200000,rpkm,4,0.0009479999999999998
9,4,1200000,rpkm,5,0.004577416666666666
9,4,1200000,rpkm,6,0.022344916666666666
9,4,4000000,rpkm,1,3.9e-06
9,4,4000000,rpkm,2,1.5975000000000002e-05
9,4,4000000,rpkm,3,6.5675e-05
9,4,4000000,rpkm,4,0.00030132499999999997
9,4,4000000,rpkm,5,0.001530625
9,4,4000000,rpkm,6,0.00821965
9,8,4000,rpkm,1,0.007424999999999999
9,8,4000,rpkm,2,0.035425
9,8,4000,rpkm,3,0.11087500000000002
9,8,4000,rpkm,4,0.29
9,8,4000,rpkm,5,0.539525
9,8,4000,rpkm,6,0.8039
9,8,12000,rpkm,1,0.0029000000000000002
9,8,12000,rpkm,2,0.014591666666666664
9,8,12000,rpkm,3,0.053325
9,8,12000,rpkm,4,0.16605833333333334
9,8,12000,rpkm,5,0.37506666666666666
9,8,12000,rpkm,6,0.6651
9,8,40000,rpkm,1,0.0009674999999999999
9,8,40000,rpkm,2,0.0051400000000000005
9,8,40000,rpkm,3,0.02137
9,8,40000,rpkm,4,0.07869250000000001
9,8,40000,rpkm,5,0.2229225
9,8,40000,rpkm,6,0.492
9,8,120000,rpkm,1,0.0003475
9,8,120000,rpkm,2,0.0019141666666666669
9,8,120000,rpkm,3,0.008669166666666667
9,8,120000,rpkm,4,0.03583083333333333
9,8,120000,rpkm,5,0.12362083333333333
9,8,120000,rpkm,6,0.341185
9,8,400000,rpkm,1,0.00011200000000000001
9,8,400000,rpkm,2,0.0006212500000000001
9,8,400000,rpkm,3,0.003014
9,8,400000,rpkm,4,0.01370775
9,8,400000,rpkm,5,0.05695225
9,8,400000,rpkm,6,0.20356449999999998
9,8,1200000,rpkm,1,3.9416666666666665e-05
9,8,1200000,rpkm,2,0.00021891666666666666
9,8,1200000,rpkm,3,0.00110975
9,8,1200000,rpkm,4,0.005387583333333334
9,8,1200000,rpkm,5,0.025632750000000003
9,8,1200000,rpkm,6,0.11446683333333332
9,8,4000000,rpkm,1,1.0124999999999999e-05
9,8,4000000,rpkm,2,5.0175e-05
9,8,4000000,rpkm,3,0.000255075
9,8,4000000,rpkm,4,0.001289
9,8,4000000,rpkm,5,0.006929599999999999
9,8,4000000,rpkm,6,0.03865397499999999
