n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,4,12000,rpkm,6.0,52915.5,0.2349785327911377
3,4,40000,k-means++,None,1200000.0,0.22952141761779785
3,4,40000,mb-kmeans,100.0,294750.0,0.08046996593475342
3,4,40000,mb-kmeans,500.0,296400.0,0.020722270011901855
3,4,40000,mb-kmeans,1000.0,363000.0,0.09815456867218017
3,4,40000,rpkm,1.0,105.3,0.010557031631469727
3,4,40000,rpkm,2.0,588.6,0.017235326766967773
3,4,40000,rpkm,3.0,2696.4,0.027893471717834472
3,4,40000,rpkm,4.0,19351.2,0.055172300338745116
3,4,40000,rpkm,5.0,37542.6,0.12932250499725342
3,4,40000,rpkm,6.0,80404.8,0.3903887510299683
3,4,120000,k-means++,None,5004000.0,0.3070295095443726
3,4,120000,mb-kmeans,100.0,864390.0,0.23182356357574463
3,4,120000,mb-kmeans,500.0,852000.0,0.05182363986968994
3,4,120000,mb-kmeans,1000.0,989400.0,0.12521650791168212
3,4,120000,rpkm,1.0,105.0,0.027712464332580566
3,4,120000,rpkm,2.0,650.4,0.041087675094604495
3,4,120000,rpkm,3.0,4630.2,0.0599074125289917
3,4,120000,rpkm,4.0,19533.6,0.0978959083557129
3,4,120000,rpkm,5.0,41613.0,0.21980688571929932
3,4,120000,rpkm,6.0,111672.0,0.6645292520523072
3,4,400000,k-means++,None,13440000.0,0.3241096258163452
3,4,400000,mb-kmeans,100.0,2763930.0,0.6891407251358033
3,4,400000,mb-kmeans,500.0,2931900.0,0.1832742214202881
3,4,400000,mb-kmeans,1000.0,3292500.0,0.2299436569213867
3,4,400000,rpkm,1.0,107.1,0.08417942523956298
3,4,400000,rpkm,2.0,653.4,0.14785902500152587
3,4,400000,rpkm,3.0,3330.9,0.1758960247039795
3,4,400000,rpkm,4.0,19318.8,0.25312783718109133
3,4,400000,rpkm,5.0,50684.7,0.49840826988220216
3,4,400000,rpkm,6.0,400161.3,1.0893758535385132
3,4,1200000,k-means++,None,42120000.0,0.5637315273284912
3,4,1200000,mb-kmeans,100.0,8794110.0,2.4372734785079957
3,4,1200000,mb-kmeans,500.0,8209350.0,0.4737375020980835
3,4,1200000,mb-kmeans,1000.0,9671400.0,0.6008348226547241
3,4,1200000,rpkm,1.0,82.8,0.24769668579101561
3,4,1200000,rpkm,2.0,391.2,0.36200671195983886
3,4,1200000,rpkm,3.0,2726.4,0.5341936826705933
3,4,1200000,rpkm,4.0,11096.1,0.7236467838287354
3,4,1200000,rpkm,5.0,33285.3,1.0665408372879028
3,4,1200000,rpkm,6.0,131021.7,1.7370696306228637
3,4,4000000,k-means++,None,122400000.0,1.2026201486587524
3,4,4000000,mb-kmeans,100.0,26128470.0,5.789891362190247
3,4,4000000,mb-kmeans,500.0,28600800.0,1.725435471534729
3,4,4000000,mb-kmeans,1000.0,31923300.0,1.5926219940185546
3,4,4000000,rpkm,1.0,34.8,0.4647946357727051
3,4,4000000,rpkm,2.0,167.4,0.8802323818206788
3,4,4000000,rpkm,3.0,853.8,1.4364438772201538
3,4,4000000,rpkm,4.0,5124.3,2.19218053817749
3,4,4000000,rpkm,5.0,14963.1,2.754414916038513
3,4,4000000,rpkm,6.0,54588.0,3.7140262126922607
3,8,4000,k-means++,None,118800.0,0.08032195568084717
3,8,4000,mb-kmeans,100.0,33120.0,0.013009119033813476
3,8,4000,mb-kmeans,500.0,59550.0,0.06420357227325439
3,8,4000,mb-kmeans,1000.0,106200.0,0.0818319320678711
3,8,4000,rpkm,1.0,411.9,0.004223370552062988
3,8,4000,rpkm,2.0,2428.2,0.009825992584228515
3,8,4000,rpkm,3.0,8547.0,0.025129938125610353
3,8,4000,rpkm,4.0,19282.2,0.05888330936431885
3,8,4000,rpkm,5.0,31798.8,0.127455997467041
3,8,4000,rpkm,6.0,43118.7,0.21913352012634277
3,8,12000,k-means++,None,378000.0,0.22993617057800292
3,8,12000,mb-kmeans,100.0,98940.0,0.033208823204040526
3,8,12000,mb-kmeans,500.0,145350.0,0.07806389331817627
3,8,12000,mb-kmeans,1000.0,210600.0,0.08462715148925781
3,8,12000,rpkm,1.0,489.3,0.006118369102478027
3,8,12000,rpkm,2.0,3078.6,0.013432717323303223
3,8,12000,rpkm,3.0,9227.7,0.040485167503356935
3,8,12000,rpkm,4.0,25367.4,0.09946699142456054
3,8,12000,rpkm,5.0,93859.2,0.23360779285430908
3,8,12000,rpkm,6.0,120290.1,0.5041207790374755
3,8,40000,k-means++,None,1260000.0,0.22336010932922362
3,8,40000,mb-kmeans,100.0,303090.0,0.08322255611419678
3,8,40000,mb-kmeans,500.0,359400.0,0.0908419132232666
3,8,40000,mb-kmeans,1000.0,388500.0,0.09803955554962158
3,8,40000,rpkm,1.0,467.7,0.012571310997009278
3,8,40000,rpkm,2.0,3843.6,0.024062085151672363
3,8,40000,rpkm,3.0,11608.2,0.05440897941589355
3,8,40000,rpkm,4.0,45718.8,0.1549816608428955
3,8,40000,rpkm,5.0,86042.1,0.44212868213653567
3,8,40000,rpkm,6.0,149790.3,1.0630512475967406
3,8,120000,k-means++,None,4320000.0,0.2644239664077759
3,8,120000,mb-kmeans,100.0,854040.0,0.22949004173278809
3,8,120000,mb-kmeans,500.0,845850.0,0.114151930809021
3,8,120000,mb-kmeans,1000.0,1004700.0,0.12728526592254638
3,8,120000,rpkm,1.0,518.4,0.03221316337585449
3,8,120000,rpkm,2.0,4010.7,0.05495374202728272
3,8,120000,rpkm,3.0,16375.5,0.09727532863616943
3,8,120000,rpkm,4.0,55142.4,0.2598881244659424
3,8,120000,rpkm,5.0,119114.4,0.7413851499557496
3,8,120000,rpkm,6.0,350880.6,1.9940288543701172
3,8,400000,k-means++,None,13080000.0,0.30562782287597656
3,8,400000,mb-kmeans,100.0,2757090.0,0.6705334663391114
