n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,8,100.0,rpkm,2.0,1476.6,0.0067544221878051754
3,8,100.0,rpkm,3.0,1476.6,0.009850072860717773
3,8,100.0,rpkm,4.0,1476.6,0.009050369262695312
3,8,100.0,rpkm,5.0,1476.6,0.009234046936035157
3,8,100.0,rpkm,6.0,1476.6,0.00900578498840332
3,8,1000.0,k-means++,None,27900.0,0.0021561622619628907
3,8,1000.0,mb-kmeans,100.0,18240.0,0.00902101993560791
3,8,1000.0,mb-kmeans,500.0,39450.0,0.007113146781921387
3,8,1000.0,mb-kmeans,1000.0,74700.0,0.008495378494262695
3,8,1000.0,rpkm,1.0,2833.5,0.0059719085693359375
3,8,1000.0,rpkm,2.0,10695.6,0.024815130233764648
3,8,1000.0,rpkm,3.0,27608.4,0.05341482162475586
3,8,1000.0,rpkm,4.0,27608.4,0.08231205940246582
3,8,1000.0,rpkm,5.0,27608.4,0.08153734207153321
3,8,1000.0,rpkm,6.0,27608.4,0.08318045139312744
3,8,10000.0,k-means++,None,285000.0,0.19504976272583008
3,8,10000.0,mb-kmeans,100.0,120330.0,0.030417418479919432
3,8,10000.0,mb-kmeans,500.0,168750.0,0.08398091793060303
3,8,10000.0,mb-kmeans,1000.0,206100.0,0.08876895904541016
3,8,10000.0,rpkm,1.0,3469.8,0.008772683143615723
3,8,10000.0,rpkm,2.0,17063.7,0.05321581363677978
3,8,10000.0,rpkm,3.0,67999.2,0.31233930587768555
3,8,10000.0,rpkm,4.0,109871.4,0.6527502775192261
3,8,10000.0,rpkm,5.0,112871.1,1.0166667461395265
3,8,10000.0,rpkm,6.0,112871.1,0.9955909013748169
3,8,100000.0,k-means++,None,2790000.0,0.20433247089385986
3,8,100000.0,mb-kmeans,100.0,997740.0,0.17135775089263916
3,8,100000.0,mb-kmeans,500.0,1160250.0,0.13394241333007811
3,8,100000.0,mb-kmeans,1000.0,1413600.0,0.14614875316619874
3,8,100000.0,rpkm,1.0,4157.4,0.02263648509979248
3,8,100000.0,rpkm,2.0,31555.5,0.10996553897857667
3,8,100000.0,rpkm,3.0,286670.1,1.0029821395874023
3,8,100000.0,rpkm,4.0,828993.0,3.6886061906814573
3,8,100000.0,rpkm,5.0,1128918.6,7.4819581508636475
3,8,100000.0,rpkm,6.0,1128918.6,10.447359943389893
9,2,100.0,k-means++,None,10350.0,0.002101445198059082
9,2,100.0,mb-kmeans,100.0,24750.0,0.007530784606933594
9,2,100.0,mb-kmeans,500.0,94950.0,0.011871957778930664
9,2,100.0,mb-kmeans,1000.0,161100.0,0.010226702690124512
9,2,100.0,rpkm,1.0,204.3,0.0016388654708862304
9,2,100.0,rpkm,2.0,596.7,0.0032552480697631836
9,2,100.0,rpkm,3.0,1194.3,0.005251932144165039
9,2,100.0,rpkm,4.0,2034.0,0.007733464241027832
9,2,100.0,rpkm,5.0,3102.3,0.012779426574707032
9,2,100.0,rpkm,6.0,4113.9,0.014297747611999511
9,2,1000.0,k-means++,None,109800.0,0.0025897979736328124
9,2,1000.0,mb-kmeans,100.0,96750.0,0.008263969421386718
9,2,1000.0,mb-kmeans,500.0,174150.0,0.00938258171081543
9,2,1000.0,mb-kmeans,1000.0,263700.0,0.010362625122070312
9,2,1000.0,rpkm,1.0,159.3,0.0017868757247924804
9,2,1000.0,rpkm,2.0,568.8,0.0034324169158935548
9,2,1000.0,rpkm,3.0,1457.1,0.005764651298522949
9,2,1000.0,rpkm,4.0,3925.8,0.009651637077331543
9,2,1000.0,rpkm,5.0,12927.6,0.017130446434020997
9,2,1000.0,rpkm,6.0,21805.2,0.030835795402526855
9,2,10000.0,k-means++,None,1134000.0,0.13377716541290283
9,2,10000.0,mb-kmeans,100.0,868230.0,0.031030702590942382
9,2,10000.0,mb-kmeans,500.0,943200.0,0.01463167667388916
9,2,10000.0,mb-kmeans,1000.0,1033200.0,0.016440510749816895
9,2,10000.0,rpkm,1.0,234.9,0.003668999671936035
9,2,10000.0,rpkm,2.0,767.7,0.006213641166687012
9,2,10000.0,rpkm,3.0,2356.2,0.009664440155029297
9,2,10000.0,rpkm,4.0,7532.1,0.015765571594238283
9,2,10000.0,rpkm,5.0,18779.4,0.029099321365356444
9,2,10000.0,rpkm,6.0,46604.7,0.062357211112976076
9,2,100000.0,k-means++,None,12240000.0,0.17876918315887452
9,2,100000.0,mb-kmeans,100.0,8204670.0,0.14146890640258789
9,2,100000.0,mb-kmeans,500.0,8614800.0,0.06416158676147461
9,2,100000.0,mb-kmeans,1000.0,8739900.0,0.052076411247253415
9,2,100000.0,rpkm,1.0,221.4,0.0208709716796875
9,2,100000.0,rpkm,2.0,792.0,0.031006598472595216
9,2,100000.0,rpkm,3.0,2504.7,0.04268560409545898
9,2,100000.0,rpkm,4.0,6358.5,0.05798783302307129
9,2,100000.0,rpkm,5.0,21056.4,0.08356254100799561
9,2,100000.0,rpkm,6.0,59009.4,0.14179093837738038
9,4,100.0,k-means++,None,10980.0,0.0020083189010620117
9,4,100.0,mb-kmeans,100.0,29790.0,0.008548927307128907
9,4,100.0,mb-kmeans,500.0,108000.0,0.00921628475189209
9,4,100.0,mb-kmeans,1000.0,189900.0,0.0101881742477417
9,4,100.0,rpkm,1.0,344.7,0.0015192508697509765
9,4,100.0,rpkm,2.0,1636.2,0.0036212444305419923
9,4,100.0,rpkm,3.0,3278.7,0.006646728515625
9,4,100.0,rpkm,4.0,4571.1,0.010123562812805176
9,4,100.0,rpkm,5.0,4748.4,0.01274557113647461
9,4,100.0,rpkm,6.0,4748.4,0.013280224800109864
9,4,1000.0,k-means++,None,134100.0,0.010811805725097656
9,4,1000.0,mb-kmeans,100.0,102240.0,0.009502720832824708
9,4,1000.0,mb-kmeans,500.0,189000.0,0.010152053833007813
9,4,1000.0,mb-kmeans,1000.0,283500.0,0.011228632926940919
9,4,1000.0,rpkm,1.0,339.3,0.0017237663269042969
9,4,1000.0,rpkm,2.0,3078.0,0.004690837860107422
9,4,1000.0,rpkm,3.0,17240.4,0.011870574951171876
9,4,1000.0,rpkm,4.0,67326.3,0.029528093338012696
9,4,1000.0,rpkm,5.0,118811.7,0.05464637279510498
9,4,1000.0,rpkm,6.0,130484.7,0.08332059383392335
9,4,10000.0,k-means++,None,1287000.0,0.16788275241851808
9,4,10000.0,mb-kmeans,100.0,870120.0,0.03175129890441895
9,4,10000.0,mb-kmeans,500.0,949500.0,0.01634225845336914
9,4,10000.0,mb-kmeans,1000.0,1086300.0,0.09054522514343262
9,4,10000.0,rpkm,1.0,430.2,0.002628636360168457
9,4,10000.0,rpkm,2.0,4168.8,0.006811380386352539
